description	Type	UseData	Data	Weight	depth
d_GG	1	1	2.424	1	4451.0
d_GG	1	1	2.388	1	4451.1
d_GG	1	1	2.353	1	4451.3
d_GG	1	1	2.297	1	4451.5
d_GG	1	1	2.285	1	4451.6
d_GG	1	1	2.282	1	4451.8
d_GG	1	1	2.285	1	4451.9
d_GG	1	1	2.292	1	4452.1
d_GG	1	1	2.297	1	4452.2
d_GG	1	1	2.304	1	4452.4
d_GG	1	1	2.317	1	4452.5
d_GG	1	1	2.332	1	4452.7
d_GG	1	1	2.348	1	4452.8
d_GG	1	1	2.355	1	4453.0
d_GG	1	1	2.361	1	4453.1
d_GG	1	1	2.361	1	4453.3
d_GG	1	1	2.269	1	4453.4
d_GG	1	1	2.228	1	4453.6
d_GG	1	1	2.214	1	4453.7
d_GG	1	1	2.216	1	4453.9
d_GG	1	1	2.229	1	4454.0
d_GG	1	1	2.252	1	4454.2
d_GG	1	1	2.262	1	4454.3
d_GG	1	1	2.269	1	4454.5
d_GG	1	1	2.277	1	4454.7
d_GG	1	1	2.284	1	4454.8
d_GG	1	1	2.279	1	4455.0
d_GG	1	1	2.271	1	4455.1
d_GG	1	1	2.264	1	4455.3
d_GG	1	1	2.257	1	4455.4
d_GG	1	1	2.247	1	4455.6
d_GG	1	1	2.241	1	4455.7
d_GG	1	1	2.242	1	4455.9
d_GG	1	1	2.269	1	4456.0
d_GG	1	1	2.269	1	4456.2
d_GG	1	1	2.267	1	4456.3
d_GG	1	1	2.289	1	4456.5
d_GG	1	1	2.299	1	4456.6
d_GG	1	1	2.299	1	4456.8
d_GG	1	1	2.292	1	4456.9
d_GG	1	1	2.262	1	4457.1
Phi_NN	2	1	0.059	1	4451.0
Phi_NN	2	1	0.065	1	4451.1
Phi_NN	2	1	0.068	1	4451.3
Phi_NN	2	1	0.069	1	4451.5
Phi_NN	2	1	0.066	1	4451.6
Phi_NN	2	1	0.065	1	4451.8
Phi_NN	2	1	0.064	1	4451.9
Phi_NN	2	1	0.064	1	4452.1
Phi_NN	2	1	0.064	1	4452.2
Phi_NN	2	1	0.064	1	4452.4
Phi_NN	2	1	0.064	1	4452.5
Phi_NN	2	1	0.066	1	4452.7
Phi_NN	2	1	0.070	1	4452.8
Phi_NN	2	1	0.080	1	4453.0
Phi_NN	2	1	0.086	1	4453.1
Phi_NN	2	1	0.091	1	4453.3
Phi_NN	2	1	0.092	1	4453.4
Phi_NN	2	1	0.092	1	4453.6
Phi_NN	2	1	0.091	1	4453.7
Phi_NN	2	1	0.089	1	4453.9
Phi_NN	2	1	0.087	1	4454.0
Phi_NN	2	1	0.086	1	4454.2
Phi_NN	2	1	0.085	1	4454.3
Phi_NN	2	1	0.092	1	4454.5
Phi_NN	2	1	0.097	1	4454.7
Phi_NN	2	1	0.101	1	4454.8
Phi_NN	2	1	0.103	1	4455.0
Phi_NN	2	1	0.104	1	4455.1
Phi_NN	2	1	0.104	1	4455.3
Phi_NN	2	1	0.101	1	4455.4
Phi_NN	2	1	0.100	1	4455.6
Phi_NN	2	1	0.099	1	4455.7
Phi_NN	2	1	0.097	1	4455.9
Phi_NN	2	1	0.095	1	4456.0
Phi_NN	2	1	0.093	1	4456.2
Phi_NN	2	1	0.092	1	4456.3
Phi_NN	2	1	0.097	1	4456.5
Phi_NN	2	1	0.103	1	4456.6
Phi_NN	2	1	0.113	1	4456.8
Phi_NN	2	1	0.116	1	4456.9
Phi_NN	2	1	0.118	1	4457.1
