description	Type	UseData	Data	Weight	frequency
realConductivity	1	1	6.80E-03	1	1.00E-03
realConductivity	1	1	6.83E-03	1	1.61E-03
realConductivity	1	1	6.86E-03	1	2.58E-03
realConductivity	1	1	6.90E-03	1	4.15E-03
realConductivity	1	1	6.94E-03	1	6.66E-03
realConductivity	1	1	6.99E-03	1	1.07E-02
realConductivity	1	1	7.05E-03	1	1.72E-02
realConductivity	1	1	7.11E-03	1	2.76E-02
realConductivity	1	1	7.18E-03	1	4.44E-02
realConductivity	1	1	7.26E-03	1	7.13E-02
realConductivity	1	1	7.34E-03	1	1.15E-01
realConductivity	1	1	7.42E-03	1	1.84E-01
realConductivity	1	1	7.51E-03	1	2.96E-01
realConductivity	1	1	7.60E-03	1	4.75E-01
realConductivity	1	1	7.68E-03	1	7.63E-01
realConductivity	1	1	7.76E-03	1	1.23E+00
realConductivity	1	1	7.84E-03	1	1.97E+00
realConductivity	1	1	7.91E-03	1	3.16E+00
realConductivity	1	1	7.97E-03	1	5.08E+00
realConductivity	1	1	8.02E-03	1	8.16E+00
realConductivity	1	1	8.07E-03	1	1.31E+01
realConductivity	1	1	8.11E-03	1	2.11E+01
realConductivity	1	1	8.15E-03	1	3.38E+01
realConductivity	1	1	8.18E-03	1	5.44E+01
realConductivity	1	1	8.20E-03	1	8.73E+01
realConductivity	1	1	8.23E-03	1	1.40E+02
realConductivity	1	1	8.24E-03	1	2.25E+02
realConductivity	1	1	8.26E-03	1	3.62E+02
realConductivity	1	1	8.27E-03	1	5.82E+02
realConductivity	1	1	8.28E-03	1	9.35E+02
realConductivity	1	1	8.29E-03	1	1.50E+03
realConductivity	1	1	8.30E-03	1	2.41E+03
realConductivity	1	1	8.30E-03	1	3.87E+03
realConductivity	1	1	8.31E-03	1	6.22E+03
realConductivity	1	1	8.31E-03	1	1.00E+04
imaginaryConductivity	2	1	8.73E-05	1	1.00E-03
imaginaryConductivity	2	1	1.02E-04	1	1.61E-03
imaginaryConductivity	2	1	1.18E-04	1	2.58E-03
imaginaryConductivity	2	1	1.36E-04	1	4.15E-03
imaginaryConductivity	2	1	1.56E-04	1	6.66E-03
imaginaryConductivity	2	1	1.76E-04	1	1.07E-02
imaginaryConductivity	2	1	1.96E-04	1	1.72E-02
imaginaryConductivity	2	1	2.16E-04	1	2.76E-02
imaginaryConductivity	2	1	2.34E-04	1	4.44E-02
imaginaryConductivity	2	1	2.50E-04	1	7.13E-02
imaginaryConductivity	2	1	2.62E-04	1	1.15E-01
imaginaryConductivity	2	1	2.69E-04	1	1.84E-01
imaginaryConductivity	2	1	2.71E-04	1	2.96E-01
imaginaryConductivity	2	1	2.67E-04	1	4.75E-01
imaginaryConductivity	2	1	2.59E-04	1	7.63E-01
imaginaryConductivity	2	1	2.46E-04	1	1.23E+00
imaginaryConductivity	2	1	2.30E-04	1	1.97E+00
imaginaryConductivity	2	1	2.11E-04	1	3.16E+00
imaginaryConductivity	2	1	1.91E-04	1	5.08E+00
imaginaryConductivity	2	1	1.71E-04	1	8.16E+00
imaginaryConductivity	2	1	1.51E-04	1	1.31E+01
imaginaryConductivity	2	1	1.32E-04	1	2.11E+01
imaginaryConductivity	2	1	1.14E-04	1	3.38E+01
imaginaryConductivity	2	1	9.81E-05	1	5.44E+01
imaginaryConductivity	2	1	8.38E-05	1	8.73E+01
imaginaryConductivity	2	1	7.12E-05	1	1.40E+02
imaginaryConductivity	2	1	6.03E-05	1	2.25E+02
imaginaryConductivity	2	1	5.08E-05	1	3.62E+02
imaginaryConductivity	2	1	4.27E-05	1	5.82E+02
imaginaryConductivity	2	1	3.58E-05	1	9.35E+02
imaginaryConductivity	2	1	2.99E-05	1	1.50E+03
imaginaryConductivity	2	1	2.50E-05	1	2.41E+03
imaginaryConductivity	2	1	2.08E-05	1	3.87E+03
imaginaryConductivity	2	1	1.73E-05	1	6.22E+03
imaginaryConductivity	2	1	1.44E-05	1	1.00E+04
