description	Type	Data	UseData	Weight	particleSize	density	total_porosity	PhiinterNeu	sigmaW	l
realConductivity	1	2.05E-02	1	1.21E-01	9.66E+00	2.71E+00	5.50E-01	4.64E-01	5.50E-02	0.05
realConductivity	1	2.23E-02	1	1.24E-01	4.70E+00	2.71E+00	5.60E-01	4.73E-01	5.48E-02	0.05
realConductivity	1	1.24E-02	1	1.08E-01	2.44E+00	2.71E+00	5.46E-01	4.74E-01	3.08E-02	0.05
realConductivity	1	2.66E-02	1	1.30E-01	1.16E+00	2.71E+00	5.46E-01	4.64E-01	6.51E-02	0.05
realConductivity	1	1.26E-02	1	1.08E-01	5.43E-01	2.71E+00	5.34E-01	4.40E-01	3.04E-02	0.05
realConductivity	1	2.39E-02	1	1.27E-01	2.08E-01	2.71E+00	4.71E-01	4.71E-01	5.65E-02	0.05
realConductivity	1	2.67E-02	1	1.30E-01	8.15E-02	2.71E+00	5.30E-01	5.30E-01	4.95E-02	0.05
realConductivity	1	2.87E-02	1	1.33E-01	3.15E-02	2.71E+00	5.72E-01	5.72E-01	7.54E-02	0.05
imaginaryConductivity	2	7.56E-05	1	4.98E-02	9.66E+00	2.71E+00	5.50E-01	4.64E-01	5.50E-02	0.05
imaginaryConductivity	2	4.61E-05	1	4.73E-02	4.70E+00	2.71E+00	5.60E-01	4.73E-01	5.48E-02	0.05
imaginaryConductivity	2	5.44E-05	1	4.81E-02	2.44E+00	2.71E+00	5.46E-01	4.74E-01	3.08E-02	0.05
imaginaryConductivity	2	5.08E-05	1	4.78E-02	1.16E+00	2.71E+00	5.46E-01	4.64E-01	6.51E-02	0.05
imaginaryConductivity	2	4.34E-05	1	4.70E-02	5.43E-01	2.71E+00	5.34E-01	4.40E-01	3.04E-02	0.05
imaginaryConductivity	2	4.99E-05	1	4.77E-02	2.08E-01	2.71E+00	4.71E-01	4.71E-01	5.65E-02	0.05
imaginaryConductivity	2	6.74E-05	1	4.92E-02	8.15E-02	2.71E+00	5.30E-01	5.30E-01	4.95E-02	0.05
imaginaryConductivity	2	7.37E-05	1	4.96E-02	3.15E-02	2.71E+00	5.72E-01	5.72E-01	7.54E-02	0.05
specificInternalSurface	3	1.65E+00	1	9.39E-01	9.66E+00	2.71E+00	5.50E-01	4.64E-01	5.50E-02	0.05
specificInternalSurface	3	1.60E+00	1	1.00E+00	4.70E+00	2.71E+00	5.60E-01	4.73E-01	5.48E-02	0.05
specificInternalSurface	3	1.87E+00	1	7.52E-01	2.44E+00	2.71E+00	5.46E-01	4.74E-01	3.08E-02	0.05
specificInternalSurface	3	2.03E+00	1	6.67E-01	1.16E+00	2.71E+00	5.46E-01	4.64E-01	6.51E-02	0.05
specificInternalSurface	3	2.28E+00	1	5.74E-01	5.43E-01	2.71E+00	5.34E-01	4.40E-01	3.04E-02	0.05
specificInternalSurface	3	2.90E+00	1	4.43E-01	2.08E-01	2.71E+00	4.71E-01	4.71E-01	5.65E-02	0.05
specificInternalSurface	3	3.57E+00	1	3.71E-01	8.15E-02	2.71E+00	5.30E-01	5.30E-01	4.95E-02	0.05
specificInternalSurface	3	3.77E+00	1	3.56E-01	3.15E-02	2.71E+00	5.72E-01	5.72E-01	7.54E-02	0.05
intra-particlePorosity	4	1.59E-01	1	2.57E-01	9.66E+00	2.71E+00	5.50E-01	4.64E-01	5.50E-02	0.05
intra-particlePorosity	4	1.65E-01	1	2.62E-01	4.70E+00	2.71E+00	5.60E-01	4.73E-01	5.48E-02	0.05
intra-particlePorosity	4	1.36E-01	1	2.37E-01	2.44E+00	2.71E+00	5.46E-01	4.74E-01	3.08E-02	0.05
intra-particlePorosity	4	1.36E-01	1	2.37E-01	1.16E+00	2.71E+00	5.46E-01	4.64E-01	6.51E-02	0.05
intra-particlePorosity	4	1.68E-01	1	2.65E-01	5.43E-01	2.71E+00	5.34E-01	4.40E-01	3.04E-02	0.05
intra-particlePorosity	4	2.79E-01	1	3.70E-01	2.08E-01	2.71E+00	4.71E-01	4.71E-01	5.65E-02	0.05
