description	Type	UseData	Data	Weight	density	porosity
Rotliegend	1	1	3846	1	2.45	0.08
Buntsandstein1	1	1	3358	1	2.31	0.13
Buntsandstein2	1	1	2970	1	2.03	0.23
Sandstone2	1	1	3207	1	2.05	0.23
SandstoneOttendorf	1	1	3296	1	2.41	0.09
EolianSandstone	1	1	3410	1	2.42	0.09
GoethitSandstone	1	1	3127	1	1.99	0.25
Sandstone3	1	1	3015	1	2.13	0.20
Sandstone4	1	1	2788	1	2.10	0.21
Gneis	1	1	4814	1	2.65	0.00
Granite	1	1	4450	1	2.68	0.00
Marble	1	0	7023	1	2.64	0.02
SeewerKalk	1	0	5765	1	2.62	0.03
Jurakalk	1	0	6105	1	2.58	0.05
Wellenkalk	1	0	4470	1	2.57	0.05
darkMarble	1	0	4421	1	2.45	0.10
MadigerKalk	1	0	4134	1	2.16	0.20
Schaumkalk	1	0	2444	1	1.92	0.29
