description	Type	UseData	Data	Weight	frequency	calculatedData
real conductivity	1	1	0.0068025	1	0.001	0.00680239161857457
real conductivity	1	1	0.0068292	1	0.0016065	0.00682909682676359
real conductivity	1	1	0.0068607	1	0.0025809	0.00686059255492076
real conductivity	1	1	0.0068976	1	0.0041462	0.00689751013197398
real conductivity	1	1	0.0069405	1	0.0066608	0.00694046187404626
real conductivity	1	1	0.00699	1	0.010701	0.00698998454198681
real conductivity	1	1	0.0070465	1	0.017191	0.00704644196729427
real conductivity	1	1	0.00711	1	0.027617	0.00710996590273905
real conductivity	1	1	0.0071804	1	0.044367	0.00718034715968772
real conductivity	1	1	0.007257	1	0.071276	0.0072569528638267
real conductivity	1	1	0.0073388	1	0.1145	0.00733868788145094
real conductivity	1	1	0.0074241	1	0.18395	0.00742405443211992
real conductivity	1	1	0.0075112	1	0.29552	0.00751118195320031
real conductivity	1	1	0.0075981	1	0.47476	0.00759804568949523
real conductivity	1	1	0.0076827	1	0.7627	0.00768264098726197
real conductivity	1	1	0.0077632	1	1.2253	0.00776319287507061
real conductivity	1	1	0.0078383	1	1.9684	0.00783827701442023
real conductivity	1	1	0.007907	1	3.1623	0.00790693805895085
real conductivity	1	1	0.0079687	1	5.0802	0.00796864835720523
real conductivity	1	1	0.0080233	1	8.1614	0.00802329710057984
real conductivity	1	1	0.0080711	1	13.111	0.00807107965738078
real conductivity	1	1	0.0081125	1	21.063	0.00811242463960258
real conductivity	1	1	0.0081479	1	33.839	0.00814788883832685
real conductivity	1	1	0.0081781	1	54.362	0.00817808910472427
real conductivity	1	1	0.0082037	1	87.333	0.00820366310421427
real conductivity	1	1	0.0082253	1	140.3	0.00822521927133476
real conductivity	1	1	0.0082434	1	225.39	0.00824332231702933
real conductivity	1	1	0.0082585	1	362.1	0.008258482167016
real conductivity	1	1	0.0082712	1	581.71	0.00827114559009937
real conductivity	1	1	0.0082818	1	934.52	0.00828170498184925
real conductivity	1	1	0.0082905	1	1501.3	0.00829049643518849
real conductivity	1	1	0.0082979	1	2411.9	0.00829780770489278
real conductivity	1	1	0.0083039	1	3874.7	0.00830388136230555
real conductivity	1	1	0.008309	1	6224.7	0.00830892335585399
real conductivity	1	1	0.0083132	1	10000	0.00831310627181154
imaginary conductivity	2	1	8.7301e-05	1	0.001	8.73023857889085e-05
imaginary conductivity	2	1	0.00010202	1	0.0016065	0.000102017866745641
imaginary conductivity	2	1	0.00011843	1	0.0025809	0.000118429221742562
imaginary conductivity	2	1	0.00013641	1	0.0041462	0.000136415211474392
imaginary conductivity	2	1	0.00015571	1	0.0066608	0.000155712807490208
imaginary conductivity	2	1	0.00017588	1	0.010701	0.00017588394860914
imaginary conductivity	2	1	0.00019628	1	0.017191	0.000196285567292251
imaginary conductivity	2	1	0.00021608	1	0.027617	0.00021608357789123
imaginary conductivity	2	1	0.00023428	1	0.044367	0.000234280958997198
imaginary conductivity	2	1	0.00024979	1	0.071276	0.000249794161208699
imaginary conductivity	2	1	0.00026157	1	0.1145	0.000261571759805581
imaginary conductivity	2	1	0.00026873	1	0.18395	0.000268739368992559
imaginary conductivity	2	1	0.00027072	1	0.29552	0.000270727085965404
imaginary conductivity	2	1	0.00026737	1	0.47476	0.000267373217368993
imaginary conductivity	2	1	0.00025895	1	0.7627	0.000258950387464766
imaginary conductivity	2	1	0.00024611	1	1.2253	0.000246116598932098
imaginary conductivity	2	1	0.00022981	1	1.9684	0.000229809272553577
imaginary conductivity	2	1	0.00021109	1	3.1623	0.000211097218012798
imaginary conductivity	2	1	0.00019105	1	5.0802	0.000191053703976532
imaginary conductivity	2	1	0.00017064	1	8.1614	0.000170638932575137
imaginary conductivity	2	1	0.00015064	1	13.111	0.000150641818236883
imaginary conductivity	2	1	0.00013164	1	21.063	0.000131646614471279
imaginary conductivity	2	1	0.00011405	1	33.839	0.000114045884062511
imaginary conductivity	2	1	9.8065e-05	1	54.362	9.80654803175048e-05
imaginary conductivity	2	1	8.3791e-05	1	87.333	8.37915785888158e-05
imaginary conductivity	2	1	7.1213e-05	1	140.3	7.12134348600997e-05
imaginary conductivity	2	1	6.0251e-05	1	225.39	6.02516799643135e-05
imaginary conductivity	2	1	5.0785e-05	1	362.1	5.0784445470974e-05
imaginary conductivity	2	1	4.267e-05	1	581.71	4.26703985324971e-05
imaginary conductivity	2	1	3.5758e-05	1	934.52	3.57582875251468e-05
imaginary conductivity	2	1	2.99e-05	1	1501.3	2.99002170119509e-05
imaginary conductivity	2	1	2.4956e-05	1	2411.9	2.49559193040542e-05
imaginary conductivity	2	1	2.0798e-05	1	3874.7	2.07978412781357e-05
imaginary conductivity	2	1	1.7311e-05	1	6224.7	1.73107013521575e-05
imaginary conductivity	2	1	1.4393e-05	1	10000	1.43931575216933e-05
