description	Type	Data	UseData	Weight	particleSize	density	total_porosity	PhiinterNeu	sigmaW	l	calculatedData
real conductivity	1	0.0204856830395639	1	0.121446814593741	9.656296296	2.7096	0.54967417759284	0.464369657627385	0.055	0.05	0.0194844426341068
real conductivity	1	0.0222655819369427	1	0.124106263697287	4.6995842	2.7096	0.560094886663152	0.472961135473323	0.0548	0.05	0.0199693407170315
real conductivity	1	0.0124430491962852	1	0.10764361507163	2.437421581	2.7096	0.545664206642067	0.474191765900973	0.0308	0.05	0.0116678568776054
real conductivity	1	0.0266064929222702	1	0.130201494620534	1.158868442	2.7096	0.546086205542907	0.463914199834664	0.0651	0.05	0.0236605017982036
real conductivity	1	0.0125885651405838	1	0.107929683653417	0.542798904	2.7096	0.53418243859858	0.440233202789241	0.0304	0.05	0.0113657021575399
real conductivity	1	0.023940210320756	1	0.126517676528519	0.2075	2.7096	0.471350963509635	0.471350963509635	0.0565	0.05	0.0238272263592381
real conductivity	1	0.0266798599873836	1	0.130300432277062	0.0815	2.7096	0.529939617577994	0.529939617577994	0.0495	0.05	0.0252406659226469
real conductivity	1	0.0287400454462306	1	0.133031005382753	0.0315	2.7096	0.571637612927853	0.571637612927853	0.0754	0.05	0.0404425010997965
imaginary conductivity	2	7.56e-05	1	0.0497561685612256	9.656296296	2.7096	0.54967417759284	0.464369657627385	0.055	0.05	3.27859726503879e-05
imaginary conductivity	2	4.61e-05	1	0.0472912409259701	4.6995842	2.7096	0.560094886663152	0.472961135473323	0.0548	0.05	3.36633075201538e-05
imaginary conductivity	2	5.44e-05	1	0.048088573152733	2.437421581	2.7096	0.545664206642067	0.474191765900973	0.0308	0.05	3.52630291776781e-05
imaginary conductivity	2	5.08e-05	1	0.0477555788927997	1.158868442	2.7096	0.546086205542907	0.463914199834664	0.0651	0.05	4.16018301979489e-05
imaginary conductivity	2	4.34e-05	1	0.0470071017716008	0.542798904	2.7096	0.53418243859858	0.440233202789241	0.0304	0.05	5.19787405943044e-05
imaginary conductivity	2	4.99e-05	1	0.0476693996313254	0.2075	2.7096	0.471350963509635	0.471350963509635	0.0565	0.05	7.52894176427857e-05
imaginary conductivity	2	6.74e-05	1	0.0491614107644041	0.0815	2.7096	0.529939617577994	0.529939617577994	0.0495	0.05	8.83980223414572e-05
imaginary conductivity	2	7.37e-05	1	0.0496230734209563	0.0315	2.7096	0.571637612927853	0.571637612927853	0.0754	0.05	8.39911982946707e-05
specific internal surface	3	1.6535	1	0.938942405727213	9.656296296	2.7096	0.54967417759284	0.464369657627385	0.055	0.05	1.64355837406677
specific internal surface	3	1.6035	1	1	4.6995842	2.7096	0.560094886663152	0.472961135473323	0.0548	0.05	1.68759360165543
specific internal surface	3	1.873	1	0.752442344835427	2.437421581	2.7096	0.545664206642067	0.474191765900973	0.0308	0.05	1.76551810743448
specific internal surface	3	2.0295	1	0.667131638205594	1.158868442	2.7096	0.546086205542907	0.463914199834664	0.0651	0.05	1.93604275383065
specific internal surface	3	2.276	1	0.574145835322626	0.542798904	2.7096	0.53418243859858	0.440233202789241	0.0304	0.05	2.26799324909215
specific internal surface	3	2.9	1	0.443490164741741	0.2075	2.7096	0.471350963509635	0.471350963509635	0.0565	0.05	3.00007666502451
specific internal surface	3	3.5695	1	0.371093418854757	0.0815	2.7096	0.529939617577994	0.529939617577994	0.0495	0.05	3.58508864381102
specific internal surface	3	3.7665	1	0.356060850849491	0.0315	2.7096	0.571637612927853	0.571637612927853	0.0754	0.05	3.59228860296657
intra-particle porosity	4	0.159260059069082	1	0.25701307253889	9.656296296	2.7096	0.54967417759284	0.464369657627385	0.055	0.05	0.141478081072306
intra-particle porosity	4	0.165326993993284	1	0.262351857804618	4.6995842	2.7096	0.560094886663152	0.472961135473323	0.0548	0.05	0.144998134769204
intra-particle porosity	4	0.135928720978595	1	0.236612001289388	2.437421581	2.7096	0.545664206642067	0.474191765900973	0.0308	0.05	0.151227203168912
intra-particle porosity	4	0.13625	1	0.236892241451923	1.158868442	2.7096	0.546086205542907	0.463914199834664	0.0651	0.05	0.164858469426148
intra-particle porosity	4	0.167836385218764	1	0.264566238389803	0.542798904	2.7096	0.53418243859858	0.440233202789241	0.0304	0.05	0.191393669356243
intra-particle porosity	4	0.278723411020924	1	0.369609139328401	0.2075	2.7096	0.471350963509635	0.471350963509635	0.0565	0.05	0.249914382789638
