description	Type	UseData	Data	Weight	frequency	calculatedData
real conductivity	1	1	0.0068025	1	0.001	0.00680468204401988
real conductivity	1	1	0.0068292	1	0.0016065	0.00683124230107397
real conductivity	1	1	0.0068607	1	0.0025809	0.00686253007173152
real conductivity	1	1	0.0068976	1	0.0041462	0.00689926252527502
real conductivity	1	1	0.0069405	1	0.0066608	0.00694211089826888
real conductivity	1	1	0.00699	1	0.010701	0.00699162427776712
real conductivity	1	1	0.0070465	1	0.017191	0.00704813732999522
real conductivity	1	1	0.00711	1	0.027617	0.00711173822698076
real conductivity	1	1	0.0071804	1	0.044367	0.00718216800264949
real conductivity	1	1	0.007257	1	0.071276	0.0072587642802477
real conductivity	1	1	0.0073388	1	0.1145	0.00734043922573027
real conductivity	1	1	0.0074241	1	0.18395	0.00742571234776151
real conductivity	1	1	0.0075112	1	0.29552	0.00751274513586448
real conductivity	1	1	0.0075981	1	0.47476	0.00759954609494368
real conductivity	1	1	0.0076827	1	0.7627	0.00768411421075339
real conductivity	1	1	0.0077632	1	1.2253	0.0077646702956204
real conductivity	1	1	0.0078383	1	1.9684	0.00783977407485229
real conductivity	1	1	0.007907	1	3.1623	0.00790844203733851
real conductivity	1	1	0.0079687	1	5.0802	0.00797013583408099
real conductivity	1	1	0.0080233	1	8.1614	0.00802474703749707
real conductivity	1	1	0.0080711	1	13.111	0.00807248312646248
real conductivity	1	1	0.0081125	1	21.063	0.00811379903965423
real conductivity	1	1	0.0081479	1	33.839	0.00814927207422566
real conductivity	1	1	0.0081781	1	54.362	0.0081795217056767
real conductivity	1	1	0.0082037	1	87.333	0.00820517152495119
real conductivity	1	1	0.0082253	1	140.3	0.00822679785141579
real conductivity	1	1	0.0082434	1	225.39	0.00824492791285798
real conductivity	1	1	0.0082585	1	362.1	0.00826005005356964
real conductivity	1	1	0.0082712	1	581.71	0.00827261583434976
real conductivity	1	1	0.0082818	1	934.52	0.00828305382454666
real conductivity	1	1	0.0082905	1	1501.3	0.00829176162287192
real conductivity	1	1	0.0082979	1	2411.9	0.00829909281361793
real conductivity	1	1	0.0083039	1	3874.7	0.00830533407981712
real conductivity	1	1	0.008309	1	6224.7	0.00831068122099204
real conductivity	1	1	0.0083132	1	10000	0.00831519883356992
imaginary conductivity	2	1	8.7301e-05	1	0.001	8.75782658352797e-05
imaginary conductivity	2	1	0.00010202	1	0.0016065	0.000101964005583215
imaginary conductivity	2	1	0.00011843	1	0.0025809	0.0001182290770789
imaginary conductivity	2	1	0.00013641	1	0.0041462	0.00013621896811156
imaginary conductivity	2	1	0.00015571	1	0.0066608	0.000155606299711543
imaginary conductivity	2	1	0.00017588	1	0.010701	0.000175884057736023
imaginary conductivity	2	1	0.00019628	1	0.017191	0.000196349148222747
imaginary conductivity	2	1	0.00021608	1	0.027617	0.00021614208147733
imaginary conductivity	2	1	0.00023428	1	0.044367	0.000234280224633248
imaginary conductivity	2	1	0.00024979	1	0.071276	0.000249707444068972
imaginary conductivity	2	1	0.00026157	1	0.1145	0.000261412178269896
imaginary conductivity	2	1	0.00026873	1	0.18395	0.000268551505012397
imaginary conductivity	2	1	0.00027072	1	0.29552	0.000270553545902857
imaginary conductivity	2	1	0.00026737	1	0.47476	0.000267247309062533
imaginary conductivity	2	1	0.00025895	1	0.7627	0.000258882548847698
imaginary conductivity	2	1	0.00024611	1	1.2253	0.000246086452667332
imaginary conductivity	2	1	0.00022981	1	1.9684	0.000229789503885446
imaginary conductivity	2	1	0.00021109	1	3.1623	0.000211063418243165
imaginary conductivity	2	1	0.00019105	1	5.0802	0.000190993942303456
imaginary conductivity	2	1	0.00017064	1	8.1614	0.00017056750352677
imaginary conductivity	2	1	0.00015064	1	13.111	0.000150587960476781
imaginary conductivity	2	1	0.00013164	1	21.063	0.00013163866723652
imaginary conductivity	2	1	0.00011405	1	33.839	0.000114099132306447
imaginary conductivity	2	1	9.8065e-05	1	54.362	9.81668537479478e-05
imaginary conductivity	2	1	8.3791e-05	1	87.333	8.38998315267406e-05
imaginary conductivity	2	1	7.1213e-05	1	140.3	7.12766452311494e-05
imaginary conductivity	2	1	6.0251e-05	1	225.39	6.02285436372826e-05
imaginary conductivity	2	1	5.0785e-05	1	362.1	5.06672345270652e-05
imaginary conductivity	2	1	4.267e-05	1	581.71	4.24979442252274e-05
imaginary conductivity	2	1	3.5758e-05	1	934.52	3.56060334314454e-05
imaginary conductivity	2	1	2.99e-05	1	1501.3	2.98517917911111e-05
imaginary conductivity	2	1	2.4956e-05	1	2411.9	2.50599510425837e-05
imaginary conductivity	2	1	2.0798e-05	1	3874.7	2.10170243418695e-05
imaginary conductivity	2	1	1.7311e-05	1	6224.7	1.74767683162521e-05
imaginary conductivity	2	1	1.4393e-05	1	10000	1.4190030365019e-05
