Name	lowerBound	upperBound	startingValue	referenceValue	weight	applyC1C2	inversionResult	parameterSTD
rho0	0.001	10000	500	100	10	0	149.709159597319	0.123478518996335
m01	1e-06	1	0.001	0.001	1	1	0.000588168745783906	9.22413592386224e-06
m02	1e-06	1	0.001	0.001	1	1	0.000677393037961197	4.74293889339153e-06
m03	1e-06	1	0.001	0.001	1	1	0.000798931230190489	6.2743153074115e-06
m04	1e-06	1	0.001	0.001	1	1	0.000990823035679806	7.6415484187326e-06
m05	1e-06	1	0.001	0.001	1	1	0.00129368945521447	8.97614665148773e-06
m06	1e-06	1	0.001	0.001	1	1	0.0017354439638351	1.17751545119448e-05
m07	1e-06	1	0.001	0.001	1	1	0.00232616645272633	1.56015424307407e-05
m08	1e-06	1	0.001	0.001	1	1	0.00307274178702432	2.02315894453907e-05
m09	1e-06	1	0.001	0.001	1	1	0.00400254267904763	2.6120518376379e-05
m10	1e-06	1	0.001	0.001	1	1	0.0051678178854837	3.34410948290477e-05
m11	1e-06	1	0.001	0.001	1	1	0.00662260981964148	4.22965166082632e-05
m12	1e-06	1	0.001	0.001	1	1	0.00838610322860212	5.27036495928438e-05
m13	1e-06	1	0.001	0.001	1	1	0.0104059800380912	6.4229178353449e-05
m14	1e-06	1	0.001	0.001	1	1	0.0125281788048242	7.59519018756096e-05
m15	1e-06	1	0.001	0.001	1	1	0.0144830451649904	8.65373132498034e-05
m16	1e-06	1	0.001	0.001	1	1	0.0159187124566054	9.44104330931765e-05
m17	1e-06	1	0.001	0.001	1	1	0.0165130638719028	9.79289901082163e-05
m18	1e-06	1	0.001	0.001	1	1	0.0161250395459385	9.58423736090664e-05
m19	1e-06	1	0.001	0.001	1	1	0.0148644654619971	8.9084550293915e-05
m20	1e-06	1	0.001	0.001	1	1	0.0130150905091843	7.94296527331733e-05
m21	1e-06	1	0.001	0.001	1	1	0.0108985521858778	6.83576549181891e-05
m22	1e-06	1	0.001	0.001	1	1	0.0087949018763256	6.22082752258422e-05
m23	1e-06	1	0.001	0.001	1	1	0.00691836969314542	5.78940771144335e-05
m24	1e-06	1	0.001	0.001	1	1	0.00539171181106016	4.69932827627905e-05
m25	1e-06	1	0.001	0.001	1	1	0.00422878166043724	4.53828415979585e-05
m26	1e-06	1	0.001	0.001	1	1	0.00336766924000108	6.41776731065196e-05
m27	1e-06	1	0.001	0.001	1	1	0.00272896348319482	8.79549592389845e-05
m28	1e-06	1	0.001	0.001	1	1	0.00224607190215895	0.000109172830860261
m29	1e-06	1	0.001	0.001	1	1	0.00187012264311154	0.000126764143555024
m30	1e-06	1	0.001	0.001	1	1	0.00156684760612394	0.000141035776109497
