description	Type	UseData	Data	Weight	density	porosity	calculatedData
Rotliegend	1	1	3846.2371882381	1	2.44749602158232	0.0764165956293128	3794.17377472052
Buntsandstone1	1	1	3358.20028352971	1	2.30865655635195	0.12880884665964	3432.07297863765
Buntsandstone2	1	1	2970.07647946935	1	2.03206945440623	0.233181337959913	2883.80047900859
Sandstone2	1	1	3207.38002871369	1	2.04672842279776	0.22764965177443	2908.42508643282
SandstoneOttendorf	1	1	3295.69638212343	1	2.4076048659848	0.09146986189253	3682.54286558677
Eolian Sandstone	1	1	3409.71963097827	1	2.41631081094723	0.0881845996425538	3706.34149660958
GoethitSandstone	1	1	3127.42849561212	1	1.9938381657547	0.247608239337849	2821.49780612402
Sandstone	1	1	3015.16708389702	1	2.12641526150311	0.197579146602602	3050.00028365519
Sandstone	1	1	2788.07190108406	1	2.09644161659008	0.208889956003744	2995.15967907403
Gneis	1	1	4813.60967673481	1	2.65293431393782	0	4484.22435675678
Granite	1	1	4450.18966284515	1	2.68150981634247	0	4484.22435675678
Marble	1	0	7022.75372205947	1	2.64337246742877	0.0245858053768384	NaN
Seewer Kalk	1	0	5765.02779259667	1	2.622176298599	0.0324072698896689	NaN
Jurakalk	1	0	6105.11259571944	1	2.58194898675868	0.0472512963990097	NaN
Wellenkalk	1	0	4470.04431729652	1	2.56745823603722	0.0525984368866346	NaN
dark Marble	1	0	4420.996787409	1	2.44650620669853	0.0972301820300635	NaN
Madiger Kalk	1	0	4134.44516910463	1	2.16176290876473	0.202301509680911	NaN
Schaumkalk	1	0	2443.74893506354	1	1.91508872604789	0.293325193340261	NaN
